gtC,ftC,gvC,fvC,minT0,minV0,minTC,minVC,sdV0,sdVC
0.0375,0.0,0.0375,0.0,0.0,0.0,0.02112937671178378,0.02582193633803071,0.0,0.05164387267606143
0.0375,0.0,0.0225,0.015,0.0,0.0,0.03286791932944144,0.03686069065215218,0.0,0.028152575883542388
0.0375,0.0,0.0225,0.015,0.0,0.0,0.04049797203091891,0.041468276983671205,0.0,0.025859792197373305
0.0375,0.0,0.0225,0.015,0.0,0.0,0.04592117872027676,0.04423282878258261,0.0,0.023888252778146022
0.0375,0.0,0.0225,0.015,0.0,0.0,0.050006191551221615,0.04607586331519022,0.0,0.02225656544818029
0.0375,0.0,0.0225,0.015,0.0,0.0,0.05321153237212487,0.04739231655276709,0.0,0.02089786791181444
0.0375,0.0,0.0225,0.015,0.0,0.0,0.055804193137014665,0.04837965648094974,0.0,0.01975074253338193
0.0375,0.0,0.0225,0.015,0.0,0.0,0.05795113531656959,0.049147587536202915,0.0,0.018768383922361593
0.0375,0.0,0.0225,0.015,0.0,0.0,0.05976259740115479,0.04976193238040544,0.0,0.01791618958360951
0.0375,0.0,0.0225,0.015,0.0,0.0,0.061314551922300654,0.050264578162025696,0.0,0.01716847456836054
0.0375,0.0,0.0225,0.015,0.0,0.0,0.06266120436848731,0.05068344964670925,0.0,0.016505910700474028
0.0375,0.0,0.0225,0.015,0.0,0.0,0.06384235481449492,0.0510378793645184,0.0,0.01591371827530665
0.0375,0.0,0.0225,0.015,0.0,0.0,0.06488793961862668,0.05134167626549768,0.0,0.015380414334437601
0.0375,0.0,0.0225,0.015,0.0,0.0,0.06582094407009555,0.051604966913013056,0.0,0.014896942910745531
0.0375,0.0,0.0225,0.015,0.0,0.0,0.0666593327325389,0.051835346229589005,0.0,0.014456063309336343
0.0375,0.0,0.0225,0.015,0.0,0.0,0.06741736544223095,0.052038622097156026,0.0,0.014051913398909422
0.0375,0.0,0.0225,0.015,0.0,0.0,0.06810651679544433,0.05221931175721559,0.0,0.0136796929744098
0.0375,0.0,0.0225,0.015,0.0,0.0,0.06873613259637229,0.05238098145305837,0.0,0.013335430681677977
0.0375,0.0,0.0225,0.015,0.0,0.0,0.06931390754179258,0.05252648417931685,0.0,0.013015809974711657
0.0375,0.0,0.0225,0.015,0.0,0.0,0.06984623878570428,0.05265812950307455,0.0,0.012718037398960168
0.0375,0.0,0.0225,0.015,0.0,0.0,0.07033849165864715,0.052777807070126984,0.0,0.012439741656374239
0.0375,0.0,0.0225,0.015,0.0,0.0,0.07079520213594032,0.052887077892218345,0.0,0.012178895359267599
0.045,0.0075,0.0225,0.015,0.0,0.0,0.07106984966057997,0.05298724281246876,0.0,0.011933753719822433
0.045,0.0075,0.0225,0.015,0.0,0.0,0.07119344939912012,0.05307939453909914,0.0,0.011702806030616091
0.045,0.0075,0.0225,0.015,0.0,0.0,0.07130754146546486,0.05316445767137334,0.0,0.011484736912570204
0.045,0.0075,0.0225,0.015,0.0,0.0,0.07141318226763593,0.053243219830886486,0.0,0.01127839509827811
0.045,0.0075,0.0225,0.015,0.0,0.0,0.07151127729822333,0.05331635612186298,0.0,0.011082768084588558
0.045,0.0075,0.0225,0.015,0.0,0.0,0.07160260715428746,0.05338444853070316,0.0,0.010896961397727962
0.045,0.0075,0.0225,0.015,0.0,0.0,0.07168784835328067,0.053448001445620674,0.0,0.010720181513733749
0.045,0.0075,0.0225,0.015,0.0,0.0,0.07176759012008076,0.05350745417247898,0.0,0.010551721698367763
0.045,0.0075,0.0225,0.015,0.0,0.0,0.07184234802645584,0.053563191103908635,0.0,0.010390950195971615
0.045,0.0075,0.0225,0.015,0.0,0.0,0.07191257515062638,0.053615550039494086,0.0,0.010237300321288141
0.045,0.0075,0.0225,0.015,0.0,0.0,0.07197867126749276,0.05366482903769215,0.0,0.010090262102970288
0.045,0.0075,0.0225,0.015,0.0,0.0,0.07204099046339535,0.05371129209313604,0.0,0.009949375200091003
0.045,0.0075,0.0225,0.015,0.0,0.0,0.07209984748174779,0.05375517386772193,0.0,0.00981422286905298
0.045,0.0075,0.0225,0.015,0.0,0.0,0.07215552303964874,0.053796683654492375,0.0,0.009684426801951088
0.045,0.0075,0.0225,0.015,0.0,0.0,0.07220826830502862,0.05383600871564333,0.0,0.009559642691657825
0.045,0.0075,0.0225,0.015,0.0,0.0,0.07225830868500438,0.053873317106991656,0.0,0.009439556405901658
0.045,0.0075,0.0225,0.015,0.0,0.0,0.07230584704598136,0.053908760078772565,0.0,0.009323880674047304
0.045,0.0075,0.0225,0.015,0.0,0.0,0.07235106646252043,0.05394247412510075,0.0,0.009212352207412974
