gtC,ftC,gvC,fvC,minT0,minV0,minTC,minVC,sdV0,sdVC
0.0075,0.0,0.11249999999999999,0.0,0.14448787593494092,2.327614487838624,0.14000170790645547,0.8072175746972529,12.413719014666691,1.5610582989310664
0.0,0.015,0.11249999999999999,0.0,0.20014585139250807,2.7777418906429183,0.192075762894198,1.1085855516698762,10.967695877337926,1.7414988296934217
0.0,0.015,0.1425,0.0,0.2323857875121719,2.70616562478347,0.2231372357967886,1.2861626462379476,9.637756051492694,1.8305187056900596
0.0,0.015,0.1425,0.0,0.25698748412504857,2.7062113140728954,0.24649729546084043,1.369282208409969,8.893093939086114,1.7798661039897439
0.0,0.015,0.1425,0.0,0.2782464613656254,2.6498729833315533,0.2670148953319968,1.4164734068437077,8.974374835357432,1.7968162948040853
0.015,0.0075,0.1425,0.0,0.2956796562842494,2.531400148239829,0.2845053686606789,1.4272656249439581,8.379670140276291,1.753748266064763
0.015,0.0075,0.1425,0.0,0.3083068561192059,2.4594485554449337,0.2968038872018309,1.4257385245454213,7.91775500841222,1.7438072408894567
0.015,0.0075,0.1425,0.0,0.31901790618458764,2.397955436275906,0.3072285340700907,1.4425987889731575,7.660267097980134,1.745905460703479
0.015,0.0075,0.1425,0.0,0.3280767580703919,2.3179932229374,0.31672006032380906,1.4430807797078204,7.337044160389784,1.6951799479856224
0.015,0.0075,0.09,0.0,0.3378020702127678,2.2326671605938486,0.3270457565981996,1.4338371766541154,7.015914554057263,1.6793264881234506
0.015,0.0075,0.09,0.0,0.34557239081222907,2.1588098812643763,0.33507997780542537,1.4367527747229007,6.732653522266937,1.7041224978110665
0.015,0.0075,0.09,0.0,0.3519773746176606,2.158669447979687,0.34162372286261994,1.4415278163112597,6.839061187088054,1.6858810008589622
0.0225,0.0075,0.09,0.0,0.35798368538270015,2.0886408462738273,0.34811002550809866,1.4214891266681517,6.600081086828004,1.6377733316561383
0.015,0.0075,0.09,0.0,0.3638329770619491,2.0238462055870823,0.354078334433615,1.4169747166175426,6.384187827304663,1.639578715085976
0.015,0.0075,0.09,0.0,0.36896202265842637,1.97793226434363,0.35926978586553415,1.4095710738188978,6.193426137021418,1.613653683501968
0.015,0.0075,0.09,0.0,0.3743584373132484,1.9210627554395505,0.36508293328791813,1.3935429352660684,6.015121615103725,1.5829783952382435
0.015,0.0075,0.09,0.0,0.37886703642364755,1.8706771183036461,0.3698336927068572,1.377334154541962,5.851899761609829,1.5550171232662962
0.015,0.0075,0.09,0.0,0.3827478597169677,1.8339913742031164,0.3739767514250421,1.3668836135145304,5.703089282027974,1.530272732209205
0.015,0.0075,0.09,0.0,0.38704245270735316,1.7927819422567477,0.37870588716803866,1.3586391217629976,5.563847977082055,1.5141096385802664
0.015,0.0075,0.045,0.0,0.391096610928139,1.7552748926788817,0.38308619572623553,1.3457270473658034,5.435955748991068,2.022420493680027
0.015,0.0075,0.045,0.0,0.3946172220555512,1.715987851403418,0.38693084444862325,1.3266913938111247,5.315274673021403,1.9826923423178542
0.015,0.0075,0.045,0.0,0.39838838084024636,1.682063982604618,0.3910701803388646,1.308003419602049,5.203245806313044,1.9450229439637357
0.015,0.0075,0.045,0.0,0.40143235599831056,1.651990989649129,0.39446555723333215,1.2954160493645845,5.097928916163905,1.9124112138842744
0.015,0.0075,0.045,0.0,0.40473844203289444,1.6201707252360293,0.3980198890702775,1.2801883076482088,4.99866757851609,1.8807057578230368
0.015,0.0075,0.045,0.0,0.40764631161259707,1.5922216679282841,0.4011934427147016,1.2656884941589213,4.905251481594496,1.8495948485560691
0.015,0.0075,0.045,0.0,0.4104644259143619,1.5615189588692024,0.40426934335025844,1.2486956805319787,4.8165940325446694,1.818833028302575
0.015,0.0075,0.045,0.0,0.41319352207804944,1.535704982291506,0.40728477032439747,1.2359849434211525,4.732395363832237,1.790398352145175
0.015,0.0075,0.045,0.0,0.4160936073894729,1.512583150089522,0.41038821625581895,1.2238007107438689,4.652804920899449,1.7629875932906918
0.015,0.0075,0.045,0.0,0.4184663220297499,1.4894270722576322,0.4129874155184995,1.2109663324954103,4.576994307048447,1.7366181885770946
0.015,0.0075,0.045,0.0,0.4208578205071296,1.469465553174932,0.4155533854127511,1.2013555279520705,4.504688717557838,1.712420365043075
0.015,0.0075,0.045,0.0,0.42323159718479886,1.4502126702968234,0.4181304507360977,1.191251139092194,4.435985247858683,1.6890836744043578
0.015,0.0075,0.045,0.0,0.4254507591635222,1.4334028575500632,0.4205724049605971,1.1834371291410302,4.3707353616703495,1.6683246866550832
0.015,0.0075,0.045,0.0,0.4277930280521971,1.4148966320848424,0.42306779544438955,1.173627900166654,4.308153305900751,1.6473771481294004
0.015,0.0075,0.045,0.0,0.4299212714719622,1.3974937489412582,0.42534635823519035,1.1645400558552892,4.248360928343296,1.628330465314947
0.015,0.0075,0.045,0.0,0.4318765822870934,1.3812076702518388,0.42744300989536177,1.155411147813793,4.190532256714088,1.6079037883653888
0.015,0.0075,0.045,0.0,0.4341187795977233,1.365009857790298,0.42985207812772547,1.1459353930957759,4.135127296321165,1.5885388300946057
0.015,0.0075,0.045,0.0,0.43589885756404123,1.3503833740222337,0.4317862470591821,1.1377833706853964,4.081967961505842,1.5703116721816608
0.015,0.0075,0.045,0.0,0.43788899684070154,1.3357280137452132,0.4338930334618276,1.1292614271876096,4.030700651015667,1.5521773462701147
0.015,0.0075,0.045,0.0,0.4399360704055453,1.3213653132709888,0.4360617103822484,1.1205621263238963,3.9814049912979517,1.5348673169447837
0.015,0.0075,0.045,0.0,0.4417628273137855,1.3079443810689493,0.43799207964206344,1.1127114544910879,3.9337858086359585,1.5178851442932864
0.015,0.0075,0.045,0.0,0.4435577892826257,1.2944400794604638,0.43988432140691835,1.1044257666144575,3.8879603802202283,1.5016442248331705
0.015,0.0075,0.045,0.0,0.44536694218315814,1.2825623361372183,0.44178722782975566,1.0974608565983242,3.843693496386811,1.4861890661295005
0.015,0.0075,0.045,0.0,0.4471110186942972,1.2698684245907246,0.44359788886993495,1.0893226481965839,3.801262237506226,1.4717897867636351
0.015,0.0075,0.045,0.0,0.44868977035951313,1.2583796505616953,0.44526297385677005,1.0823840699509784,3.759892910820983,1.4571282625902813
0.015,0.0075,0.045,0.0,0.45051847052490146,1.2466889429499615,0.44717222915154176,1.0752695505671332,3.7198701537267493,1.4435796767424247
0.015,0.0075,0.045,0.0,0.45198476423768835,1.2354343093563493,0.44871265471438126,1.068111944256169,3.6811897308925623,1.429961848516588
0.015,0.0075,0.045,0.0,0.4535479294744916,1.2251175305322823,0.4503667421327839,1.0615602158769257,3.643604508160031,1.4165887961543164
0.015,0.0075,0.045,0.0,0.45499938219977704,1.2146824771859497,0.45189089544366373,1.054818174817979,3.6071814051420383,1.403530441819322
0.015,0.0075,0.045,0.0,0.45626691224759014,1.2047833637716459,0.4532281137465952,1.048633844910876,3.5718903211166135,1.3911516617424804
0.015,0.0075,0.045,0.0,0.45766240870656777,1.1950591953066851,0.45469485568598716,1.0424094281143224,3.5376034895991095,1.3788676064360608
0.015,0.0075,0.045,0.0,0.45893963595059384,1.186444646573312,0.45606857251653465,1.0371613631108256,3.5043260315368507,1.3671538466705726
0.015,0.0075,0.045,0.0,0.4603179220863317,1.1782596532326302,0.457519805026161,1.0320991296965751,3.4717694656945057,1.355200575219214
0.015,0.0075,0.045,0.0,0.4616189494822694,1.169881251231119,0.45887959469694495,1.026739109687247,3.4402886932129557,1.3439495471547696
0.015,0.0075,0.045,0.0,0.4628743052044649,1.1619188872404027,0.4602228944238925,1.021807133535862,3.4096402628081677,1.33316956491477
0.015,0.0,0.045,0.0,0.4641160966730206,1.1541070418815245,0.461521903159534,1.0167507336634432,3.3798241900953068,1.3225351849431028
